nome,nome,votos
FABIANA FERREIRA BARROS,FABIANA FERREIRA BARROS,16.0
JANETE MARIA GÓES CAPIBERIBE,JANETE MARIA GÓES CAPIBERIBE,21107.999999999985
ALVARO DE OLIVEIRA CORREA JUNIOR,ALVARO DE OLIVEIRA CORREA JUNIOR,1230.0000000000005
EDILSON VIEIRA ROCHA,EDILSON VIEIRA ROCHA,4362.0
EMERSON SILVEIRA DA SILVA,EMERSON SILVEIRA DA SILVA,719.0000000000001
MARCIVANIA DO SOCORRO DA ROCHA FLEXA,MARCIVANIA DO SOCORRO DA ROCHA FLEXA,16161.999999999993
MARCOS ROBERTO MARQUES DA SILVA,MARCOS ROBERTO MARQUES DA SILVA,6563.000000000003
MARIA DALVA DE SOUZA FIGUEIREDO,MARIA DALVA DE SOUZA FIGUEIREDO,11593.000000000004
EVANDRO COSTA MILHOMEN,EVANDRO COSTA MILHOMEN,8706.999999999993
JOSÉ CARLOS TAVARES CARVALHO,JOSÉ CARLOS TAVARES CARVALHO,2461.000000000001
EUDES GOMES DA COSTA,EUDES GOMES DA COSTA,1698.0000000000007
FRANCISCO CRISTIANO LUCENA,FRANCISCO CRISTIANO LUCENA,458.00000000000006
IZAIAS JOSE CRUZ CUNHA,IZAIAS JOSE CRUZ CUNHA,2220.0
JOSIVAN DOS SANTOS SOUSA,JOSIVAN DOS SANTOS SOUSA,442.0
RILDO FREDERICO FERREIRA,RILDO FREDERICO FERREIRA,201.99999999999997
UBIRANILDO DA SILVA MACEDO,UBIRANILDO DA SILVA MACEDO,2357.000000000001
WALDIR PIRES BITTENCOURT,WALDIR PIRES BITTENCOURT,238.00000000000009
JAILSON GILSON SOARES NUNES,JAILSON GILSON SOARES NUNES,53.00000000000001
KELLE CRISTIANE COSTA DAMASCENO,KELLE CRISTIANE COSTA DAMASCENO,33.99999999999999
CLEONICE DE MORAES BARBOSA,CLEONICE DE MORAES BARBOSA,6.999999999999998
MARIA ROSETE DANTAS FERREIRA,MARIA ROSETE DANTAS FERREIRA,29.000000000000004
PAULO VICTOR PENAFORT MENDES,PAULO VICTOR PENAFORT MENDES,572.0000000000002
DAMIANA AMORIM CABRAL,DAMIANA AMORIM CABRAL,652.0
MARCOS SERGIO ROTTA,MARCOS SERGIO ROTTA,117954.99999999997
GEDEAO TIMOTEO AMORIM,GEDEAO TIMOTEO AMORIM,62999.00000000004
MESSIAS WILSON DE MEDEIROS CURSINO,MESSIAS WILSON DE MEDEIROS CURSINO,16088.999999999995
ANA MARIA DOS SANTOS BRITO,ANA MARIA DOS SANTOS BRITO,768.0000000000003
RAIMUNDO SABINO CASTELO BRANCO MAUES,RAIMUNDO SABINO CASTELO BRANCO MAUES,69708.00000000004
MARIA DA CONCEIÇÃO SAMPAIO MOURA,MARIA DA CONCEIÇÃO SAMPAIO MOURA,71877.99999999996
JOSE NILMAR ALVES DE OLIVEIRA,JOSE NILMAR ALVES DE OLIVEIRA,48281.0
NUBIA REGINA SOARES RODRIGUES,NUBIA REGINA SOARES RODRIGUES,32.0
HISSA NAGIB ABRAHÃO FILHO,HISSA NAGIB ABRAHÃO FILHO,113646.00000000001
ERONILDO BRAGA BEZERRA,ERONILDO BRAGA BEZERRA,58766.00000000002
MARCELO SOARES DE OLIVEIRA,MARCELO SOARES DE OLIVEIRA,520.0
JOÃO PEDRO GONÇALVES DA COSTA,JOÃO PEDRO GONÇALVES DA COSTA,46926.99999999997
JOSE DOS SANTOS NASCIMENTO,JOSE DOS SANTOS NASCIMENTO,1673.0000000000002
MIGUEL DAVID FABIANO PERRONE,MIGUEL DAVID FABIANO PERRONE,1377.0000000000002
IVONE MARIA DO NASCIMENTO PERRONE,IVONE MARIA DO NASCIMENTO PERRONE,35.99999999999999
CRISTIANE AMARAL SALES TELLES,CRISTIANE AMARAL SALES TELLES,9775.000000000005
FRANCISCO NAZARENO CORREA NEVES,FRANCISCO NAZARENO CORREA NEVES,1475.0
STONES DA COSTA MACHADO,STONES DA COSTA MACHADO,2426.0
RONYERVERSON PEREIRA SIQUEIRA,RONYERVERSON PEREIRA SIQUEIRA,3594.9999999999995
SEBASTIÃO SOUZA QUEIROZ,SEBASTIÃO SOUZA QUEIROZ,782.9999999999998
INALDO CRUZ PLACIDO,INALDO CRUZ PLACIDO,0.0
MARCELO FURTADO MACHADO LEITÃO,MARCELO FURTADO MACHADO LEITÃO,541.9999999999999
KATIA CILENE DOS SANTOS SILVA,KATIA CILENE DOS SANTOS SILVA,2033.0000000000002
SARAH KALILAH FERNANDES FURTADO,SARAH KALILAH FERNANDES FURTADO,2883.0000000000014
LUIS FELIPE SILVA DE SOUZA,LUIS FELIPE SILVA DE SOUZA,18949.999999999985
MAURICIO WILKER DE AZEVEDO BARRETO,MAURICIO WILKER DE AZEVEDO BARRETO,16064.000000000007
LUIZ GONZAGA OLIVEIRA DE MORAES,LUIZ GONZAGA OLIVEIRA DE MORAES,2924.0000000000014
GILMAR EDUARDO COSTA DO COUTO,GILMAR EDUARDO COSTA DO COUTO,2792.0000000000014
PAUDERNEY TOMAZ AVELINO,PAUDERNEY TOMAZ AVELINO,103903.99999999993
MONICA GOMES DA SILVA PITANGA,MONICA GOMES DA SILVA PITANGA,1442.9999999999998
ALONSO OLIVEIRA DE SOUZA,ALONSO OLIVEIRA DE SOUZA,6460.999999999997
MAYSA COSTA DA SILVA,MAYSA COSTA DA SILVA,584.0000000000002
ALFREDO PEREIRA DO NASCIMENTO,ALFREDO PEREIRA DO NASCIMENTO,120060.00000000006
JOSE ADALBERTO DA SILVA,JOSE ADALBERTO DA SILVA,0.0
WALFRAN DE SOUZA TORRES,WALFRAN DE SOUZA TORRES,5246.999999999999
VILMA FLORENÇO QUEIROZ,VILMA FLORENÇO QUEIROZ,5337.000000000004
ARTHUR VIRGILIO DO CARMO RIBEIRO BISNETO,ARTHUR VIRGILIO DO CARMO RIBEIRO BISNETO,250916.00000000012
ATILA SIDNEY LINS DE ALBUQUERQUE,ATILA SIDNEY LINS DE ALBUQUERQUE,89452.99999999996
CARLOS ALBERTO CAVALCANTE DE SOUZA,CARLOS ALBERTO CAVALCANTE DE SOUZA,53019.99999999998
GUARACY DE JESUS DIAS REBELO,GUARACY DE JESUS DIAS REBELO,2426.0
SILAS CAMARA,SILAS CAMARA,166281.0
CARLOS RENÊ DE SOUZA FERNANDES,CARLOS RENÊ DE SOUZA FERNANDES,49275.00000000001
STANLEY PINHEIRO BRAGA,STANLEY PINHEIRO BRAGA,5157.000000000004
DEUSA RAMIRO LOPES,DEUSA RAMIRO LOPES,170.99999999999994
ROBERTO AUGUSTO RODRIGUES CAMPAINHA,ROBERTO AUGUSTO RODRIGUES CAMPAINHA,408.00000000000017
REGINA CÉLIA SICSU DOS SANTOS,REGINA CÉLIA SICSU DOS SANTOS,196.0
AUXILIADORA DE SOUZA SANTOS,AUXILIADORA DE SOUZA SANTOS,672.0
SHIRNEILA PALHETA FREITAS,SHIRNEILA PALHETA FREITAS,577.0000000000001
ALEXANDRE SIMÕES DE SOUZA,ALEXANDRE SIMÕES DE SOUZA,1447.9999999999998
ADAMOR SANTANA LIBERAL DE JESUS,ADAMOR SANTANA LIBERAL DE JESUS,479.0
JOSÉ ROBERTO DOS SANTOS,JOSÉ ROBERTO DOS SANTOS,651.0000000000001
FERNANDO JOSÉ RODRIGUES LOBATO,FERNANDO JOSÉ RODRIGUES LOBATO,397.0
